"Speaker";"Title";"Repository";"Date";"Kind";"Passcode"
"Viale, Matteo";"Tameness for set theory";"https://zoom.us/rec/play/svrpR7L9FKXj7XTaB5qNpeiydv7M2oqDwPsYv4ywTOxIpurHAAYiBI9xBriwFJbp9Tpz98fpjSI_DNmn.lfM0IPH-NaOZilwe?continueMode=true&_x_zm_rtaid=ET9ZgPmLRqyeZLiAjhzHqQ.1600075334420.5f17547eb76442cf723cc3497259afac&_x_zm_rhtaid=591";"September 11, 2020";"seminar";
"Viale, Matteo";"Tameness for Set Theory";"https://www.miguelmath.com/vid/viale-toronto.mp4";"April 17, 2020";"seminar";
"Villaveces, Andrés";"Around Shelah's logic $L^1_\kappa$";"https://cmu.zoom.us/rec/share/NzNhbRY7AcihLFJDHSmOpm8T_4ax6wWhJiw-UVx66lKY0jeKURmdjmfEtqMe8Zik.07PU1Vg9A4DQ7cZp";"March 25, 2021";"seminar";"2%=7st$m" 
"Villaveces, Andrés";"Around Shelah's logic $L^1_\kappa$";"https://cmu.zoom.us/rec/share/SNFsJm0k_Q969sfXJO2YKp28LzJo6UbcbpXBFSJKONsNheWAxkvTym4xK-_hd_FQ.EHcjHr5YAjO_mU9E";"March 18, 2021";"seminar";"#@n^YTW8"
"Williams, Kameryn";"The geology of inner mantles";"https://youtu.be/COc2rSV22jk";"December 2, 2020";"seminar";
"Xiao, Ming";"The Borel chain conditions";"https://www.miguelmath.com/vid/Toronto_20.mp4";"March 20, 2020";"seminar";
"Yang, Wentao";"aleph_0-stable AECs";"https://cmu.zoom.us/rec/share/HuTc_OHleZk3X6GtaOds58HHuLjSG_g3xzlhOpYGE08Zvt4UkRpr4kcPOcHmb52p.bpf15iDgAIgtafG3";"April 29, 2021";"seminar";"r@cNhZ^3" 
"Yang, Wentao";"aleph_0-stable AECs";"https://cmu.zoom.us/rec/share/BAAVK0HipPS34S3SOknJ57lHUR__Qsxj9Lfw9fnXK1_KhxFfyagOE3xK6zz-ftrx.GMEbJNNuU8eO8nJe";"April 22, 2021";"seminar";"3av&Gb6J" 
"Zhang, Jing";"Transformations of the transfinite plane";"https://www.miguelmath.com/vid/jz.mp4";"April 22, 2020";"seminar";
"Zilber, Boris";"Syntax, definability and geometry";"https://drive.google.com/file/d/1HlFiBzWfl1wUjkohwSh4wgUa1l-FrmRE/view";"May 13, 2020";"seminar";
"Zou, Tingxiang";"Geometric random graphs";"http://www.math.uni-konstanz.de/~eleftheriou/TDE/Zoom5.mp4";"January 18, 2021";"seminar";
"Primera Jornada de Lógica Matemática Colombia/Costa Rica";"Una aplicación de Teoría de Modelos en Ecuaciones Diferenciales";"https://youtu.be/46uekwAR6Mg";"March 3, 2021";"conference"; 
"Boxall, Gareth";"Some finiteness results concerning points on a curve with a power on a curve";"http://www1.maths.leeds.ac.uk/~pmtpe/TDE/zoom19.mp4";"August 2, 2021";"seminar";
"Fornasiero, Antongiulio";"O-minimal structures with many dense substructures";"http://www1.maths.leeds.ac.uk/~pmtpe/TDE/zoom17.mp4";"July 5, 2021";"seminar";
"Bhardwaj, Neer";"On the Pila-Wilkie theorem";"http://www1.maths.leeds.ac.uk/~pmtpe/TDE/zoom20.mp4";"August 16, 2021";"seminar";
"Meir, Nadav";"Pseudo-finite sets, pseudo-o-minimality";"http://www1.maths.leeds.ac.uk/~pmtpe/TDE/zoom21.mp4";"August 30, 2021";"seminar";
"Boney, Will";"Model Theoretic Characterizations of Large Cardinals, Part I";"https://cmu.zoom.us/rec/share/BIRUs_PhzeWESYSDlaG8IdHTp822IqUT_VErOxSu03lRQTA3s1OwsJqbtSBS9liu.i40SaSZw6H1IbWJS";"September 9, 2021";"seminar";"gK#7rjCz"
"Carroy, Raphaël";"Continuous reduction for functions";"https://cirmbox.cirm-math.fr/s/DWRXnGdaCWbQ5aA";"September 17, 2021";"conference";
"Di Nasso, Mauro";"Infinite monochromatic patterns in the integers";"https://cirmbox.cirm-math.fr/s/wbdBiibfwBYxxaP";"September 17, 2021";"conference";
"Mildenberger, Heike";"Exactly Two and Exactly Three Near-Coherence Classes of Ultrafilters";"https://cirmbox.cirm-math.fr/s/9g8DD5QGfiTLs9P";"September 17, 2021";"conference";
"Elekes, Márton";"On various notions of universally Baire sets and their applications";"https://cirmbox.cirm-math.fr/s/rA299W8YqFF7LrP";"September 17, 2021";"conference";
"Parente, Francesco";"Combinatorics of ultrafilters on Boolean algebras";"https://cirmbox.cirm-math.fr/s/AQ3dqYxNfmPy6HD";"September 17, 2021";"conference";
"Kellner, Jakob";"Separating characteristics in Cichon’s diagram and beyond";"https://cirmbox.cirm-math.fr/s/HwpEPaL2Bc6adMr";"September 16, 2021";"conference";
"Wohofsky, Wolfgang";"Distributivity spectra of forcing notions";"https://cirmbox.cirm-math.fr/s/sr62BLccBiZb9nT";"September 16, 2021";"conference";
"Dzamonja, Mirna";"On the universality problem for Aronszajn and wide Aronszajn trees on the second uncountable cardinal";"https://cirmbox.cirm-math.fr/s/KjaAdGKwStW96oZ";"September 16, 2021";"conference";
"Foreman, Matthew";"From Welch Games to Laver Ideals: a tour across Set Theory";"https://cirmbox.cirm-math.fr/s/rxYaqqxLZ4wwE7r";"September 16, 2021";"conference";
"Borodulin-nadzieja, Piotr";"AP measures in the random model";"https://cirmbox.cirm-math.fr/s/BGBNfiY4Gks4sNN";"September 16, 2021";"conference";
"Sabok, Marcin";"Perfect matchings in hyperfinite graphings";"https://cirmbox.cirm-math.fr/s/YrjipWyiqNeyKto";"September 16, 2021";"conference";
"Gitik, Moti";"On restrictions of ultrafilters from generic extensions to ground models";"https://cirmbox.cirm-math.fr/s/nfkBTqCxwAPFBaz";"September 15, 2021";"conference"; 
"Hubička, Jan";"Big Ramsey degrees of homogeneous structures";"https://cirmbox.cirm-math.fr/s/rw6r4eQWtd2q3ef";"September 15, 2021";"conference"; 
"Müller, Sandra";"The strength of determinacy when all sets are universally Baire";"https://cirmbox.cirm-math.fr/s/rQmoRJzq8cLty7Y";"September 15, 2021";"conference";
"Lecomte, Dominique";"Continuous two-colorings and topological dynamics";"https://cirmbox.cirm-math.fr/s/9Jn68B8MZtyRqZE";"September 15, 2021";"conference";
"Gitman, Victoria";"Jensen’s forcing at an inaccessible";"https://cirmbox.cirm-math.fr/s/nfkBTqCxwAPFBaz";"September 14, 2021";"conference";
"Lücke, Philipp";"The definability of almost disjoint families and long well-orders at higher cardinals";"https://cirmbox.cirm-math.fr/s/dYBJAYqHxqnfZSD";"September 14, 2021";"conference";
"Vaccaro, Andrea";"Games on AF-algebras";"https://cirmbox.cirm-math.fr/s/b7SjfCq2iZFfFyA";"September 14, 2021";"conference"; 
"Chodounský, David";"Big Ramsey degrees of 3-uniform hypergraphs are finite";"https://cirmbox.cirm-math.fr/s/L4Csc5g49iPDnJM";"September 14, 2021";"conference";
"Dimonte, Vincenzo";"The λ-Perfect Set Property, for λ singular";"https://cirmbox.cirm-math.fr/s/BkFqxbtqNkewLSx";"September 14, 2021";"conference";
"Paolini, Gianluca";"Torsion-Free Abelian Groups are Borel Complete";"https://cirmbox.cirm-math.fr/s/RrPrmftNcMEBYPX";"September 14, 2021";"conference";
"Neeman, Itay";"Abraham-Rubin-Shelah OCA and large continuum";"https://cirmbox.cirm-math.fr/s/RnLnSXDgtjaesfk";"September 13, 2021";"conference";
"Dobrinen, Natasha";"Exact big Ramsey degrees via coding trees";"https://cirmbox.cirm-math.fr/s/p8SPr9oLbaAk7SF";"September 13, 2021";"conference";
"Weinert, Thilo";"Cardinal Characteristic Comparisons";"https://cirmbox.cirm-math.fr/s/pRH6DnoS2KYgg9n";"September 13, 2021";"conference";
"Liccardo, Martina";"Elimination of imaginaries in lexicographic products of ordered abelian groups";"http://www1.maths.leeds.ac.uk/~pmtpe/TDE/zoom22.mp4";"September 13, 2021";"seminar";
"Boney, Will";"Model Theoretic Characterizations of Large Cardinals, Part II";"https://cmu.zoom.us/rec/share/4gr03Hl8OtmgMml94ugl4bS0FcOVH5Th384dNF8WVLOvYC7S8tS2RotizvkjEaPN.LY9prUgaGnb6LgMB";"September 23, 2021";"seminar";"@Klg*@2Y"
"Leung, Samson";"Hanf number of the first stability cardinal in AECs, Part I";"https://cmu.zoom.us/rec/share/-nANGsGt_41hGCG-RrESN-rBTgj_iEmWwSfRZDzmTOLJSyS7JbYwtysx8ufFEtff.BLidOhO0jz5oMsZ0";"September 30, 2021";"seminar";"#eF@FZ9C"
"Vicaria, Mariana";"Towards an imaginary Ax-Kochen Principle";"http://www1.maths.leeds.ac.uk/~pmtpe/TDE/zoom23.mp4";"September 27, 2021";"seminar"
